bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.086717705,0.094805548,2.497661759,0.076806993,1.572535563,0.190286134,3.11430552,0.16079799,0.220071893
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.099154789,0.103939443,2.837675076,0.062436594,2.36649467,0.222570705,2.3356414,0.159446808,0.234569818
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.084502956,0.099740826,2.774400648,0.0899298,2.094275612,0.092141753,2.221671045,0.158130116,0.231197755
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.105330162,0.088801753,2.887188804,0.092961519,2.154253578,0.3643435,2.084360303,0.178992008,0.231857453
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.096011802,0.091518187,2.840887089,0.073748231,1.792303747,0.937665147,1.955079092,0.160572606,0.21688836
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.090430787,0.095948942,2.911522583,0.042373898,1.416217558,0.253470416,1.981126025,0.157555124,0.222913146
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.086255667,0.100794567,2.874964764,0.062283131,1.55152647,0.119034505,1.994217885,0.142205711,0.220747765
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.102730953,0.100967391,2.799734949,0.077939159,2.296363515,0.120192347,2.33792207,0.118504341,0.221566235
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.094282759,0.086879273,2.949975082,0.075597534,2.687465195,0.361837743,2.63092482,0.103343841,0.218836086
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.085242071,0.095311791,2.949975082,0.07215402,2.771926281,0.491867441,0.455146313,0.138354709,0.234846993
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.079391359,0.088863696,2.949975082,0.063724169,2.856150394,0.274149111,0.319818565,0.141793654,0.223325979
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.101301657,0.098368645,2.951650458,0.078289221,2.856150394,0.322001075,0.409190772,0.145761032,0.215017217
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.109025399,0.099160338,2.940465377,0.087433651,2.856150394,0.274464549,1.327280743,0.180893967,0.214498442
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.10130271,0.105807595,2.940465377,0.079283438,2.762188165,0.419110657,1.086124212,0.173729452,0.219808036
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.091473948,0.101378056,2.955502379,0.082579609,2.83455954,0.600419035,1.935408511,0.190457871,0.213041292
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.095728875,0.087367611,2.737354889,0.075927941,2.791806978,0.596362311,1.914942129,0.188247546,0.222301151
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.093527693,0.093047283,2.825995683,0.056248225,2.791806978,0.898135315,1.456048987,0.184846638,0.231257485
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.093528591,0.096763946,2.797536406,0.056248225,2.791806978,0.932862445,1.397895057,0.171098421,0.221934746
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.081111304,0.096036874,2.772494126,0.054489067,2.821666044,0.932862445,1.110836283,0.174489288,0.209176849
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.098848553,0.105089375,2.836277915,0.062702014,2.821666044,0.376322777,0.659595601,0.166107318,0.208720939
