bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.261208716,0.254346494,2.562475159,0.189874728,1.080814924,0.951401476,2.4806248,0.241090468,0.329124939
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.243174551,0.284992829,2.563692205,0.189874728,0.911450372,1.098998915,2.29453446,0.299585641,0.341972066
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.280146305,0.249818388,2.571751703,0.189874728,1.172906764,0.9878843,1.493377717,0.268948144,0.372428311
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.277142703,0.280399504,2.561917902,0.184077714,1.583762284,1.225259761,1.280746925,0.303559837,0.358848882
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.242189406,0.242557803,2.570245535,0.184077714,2.203707885,0.91369328,1.784184385,0.309265135,0.327760458
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.280664423,0.27161249,2.565047812,0.169271547,2.338080145,0.825383125,1.98889259,0.317280696,0.327760458
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.289164195,0.274495815,2.573118455,0.178823613,2.411074918,1.366895967,1.950299708,0.317280696,0.329312799
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.286370203,0.282734381,2.552951692,0.178823613,2.411074918,0.606185192,0.857564652,0.317280696,0.31624204
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.246447557,0.270624652,2.557491201,0.178823613,2.227423349,1.033781233,0.982651726,0.345899345,0.316185403
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.281126412,0.290019833,2.539004566,0.187893546,2.398419297,1.144985805,1.525753635,0.334819881,0.339156285
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.266020142,0.248834711,2.556719443,0.185243969,2.286182667,1.335481311,0.962213669,0.325954834,0.321939382
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.246094413,0.22799249,2.516684578,0.185243969,1.824463817,1.118002873,1.706607952,0.278587723,0.333187897
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.268576122,0.31768291,2.543373341,0.185243969,1.816232842,1.098752007,1.795887883,0.277102744,0.328261991
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.268424328,0.251906544,2.554965765,0.185243969,1.631522999,1.209421665,1.78801072,0.277102744,0.330533698
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.275413547,0.244873741,2.535219707,0.185243969,1.571481531,1.041131953,1.269746693,0.281426245,0.328334967
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.266528823,0.293808561,2.517502178,0.185243969,1.454841316,0.551951089,0.961881575,0.3019592,0.329754465
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.266598088,0.309421981,2.517525861,0.185243969,1.471975179,0.645283797,1.618445148,0.309868105,0.353770883
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.280947795,0.283571147,2.51957486,0.193753142,1.468083797,0.857592354,1.570035762,0.316913392,0.3610205
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.275443126,0.243425364,2.443318972,0.193753142,1.685116773,0.730686062,1.760482581,0.316913392,0.32817285
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.256158655,0.229160815,2.251364246,0.193753142,1.11375604,0.669578703,1.808655703,0.286912865,0.418386454
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.300446889,0.282808167,2.374121643,0.192598146,0.966087997,0.484337668,1.776818044,0.286912865,0.315506539
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.236807138,0.280958567,2.386090929,0.184886134,1.020275016,0.480775373,0.893360692,0.297366715,0.315506539
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.329510772,0.288926389,2.404306505,0.184886134,1.514627122,0.508471822,1.485513819,0.277658476,0.344492157
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.260713053,0.299639535,2.350619718,0.184886134,1.247276866,0.515064252,0.573564177,0.288233277,0.351344932
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.27605536,0.270795622,2.341379669,0.20576732,1.118323225,0.511604243,0.429470303,0.257848032,0.325189506
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.264945615,0.238474745,2.281920256,0.197680937,1.083148171,0.451912989,0.845849531,0.260662141,0.357876801
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.294330637,0.348571177,2.356029659,0.182011908,0.998390187,0.548616554,0.353674897,0.261207256,0.345759048
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.249794462,0.291418199,2.329442407,0.270403219,0.976043806,0.496977786,0.653039032,0.288997785,0.355477026
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.25926524,0.313548499,2.202599729,0.241836404,1.164490388,0.48416779,0.863491188,0.261871541,0.342414195
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.277944644,0.263667676,2.177653112,0.245590819,0.931208789,0.54446509,0.703934128,0.266448542,0.329331776
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.264504772,0.297884306,2.251536975,0.21635106,1.101306547,0.502780918,1.7513397,0.2593531,0.344280415
