bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.238544985,0.218765828,0.333006081,0.217913994,0.817032326,0.224505749,0.43389094,0.27816473,0.361399281
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.255742295,0.25470097,0.298247165,0.201688311,0.818068204,0.220845343,0.558303002,0.280758822,0.328492395
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.235111312,0.321821432,0.266269744,0.160535001,0.855645268,0.197544216,0.466756496,0.271566744,0.324391142
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.259477711,0.297798986,0.468449061,0.171259232,0.83733523,0.352796339,0.850711048,0.269302745,0.318742907
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.2308114,0.235260124,0.307022932,0.159986531,0.893215275,0.418385547,0.359239016,0.272102978,0.309110649
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.276343888,0.280090214,0.649147812,0.22135626,0.639133356,0.552758684,0.420473175,0.27746365,0.313011332
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.265600472,0.297657278,0.474096981,0.357759598,0.750055652,0.283344573,0.581350403,0.2636612,0.313210043
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.2323771,0.227097135,0.702044651,0.174924598,0.647321658,0.336334894,0.367277615,0.283913267,0.292241443
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.238425971,0.248285866,0.321693275,0.310286074,0.875083824,0.238344282,0.343065128,0.256466997,0.380077161
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.188464886,0.236097549,0.321693275,0.246862683,0.868596015,0.278461638,0.435191174,0.208231596,0.319171632
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.281326857,0.300881024,0.313782906,0.173980079,0.854456711,0.302600206,0.433870817,0.248714201,0.326553249
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.245770146,0.255882208,0.363839145,0.155847313,0.860316287,0.313141569,0.39361998,0.239726528,0.327502003
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.246467294,0.252806259,0.417658671,0.106885984,0.908411268,0.304871217,0.373407404,0.250879892,0.319341675
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.273210156,0.291701041,0.260192098,0.218123083,0.876118196,0.635682125,0.59627068,0.213273786,0.362167365
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.246972043,0.253622518,0.995247301,0.271673146,0.850616668,0.297177846,0.735723559,0.236448911,0.358170515
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.301737094,0.245158925,0.27743374,0.242021219,0.859208749,0.298355577,0.427613185,0.173578751,0.300647835
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.268251662,0.289137572,0.276846899,0.237704991,0.81888415,0.286874953,0.432626449,0.277807439,0.307432169
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.244456332,0.270646071,0.72673432,0.245740222,0.75339569,0.560950041,0.357853084,0.20955737,0.323097943
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.250256767,0.253871901,0.26541717,0.264759356,0.642359271,0.344803521,0.395078229,0.251186689,0.349399802
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.234183163,0.289399672,0.304132133,0.222715499,0.659205601,0.673370152,0.841924314,0.269083817,0.322539745
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.278396709,0.267389326,0.23832687,0.219646792,0.650262218,0.838748671,0.443756294,0.313608485,0.324700429
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.236462893,0.246558518,0.314032624,0.204629519,0.497556652,0.74846241,0.734957279,0.331955535,0.303936579
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.237252572,0.268246985,0.32005303,0.225972802,0.598069487,0.705345773,0.434597747,0.182354679,0.350004484
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.262472723,0.242143674,0.241253009,0.208051994,0.652507411,0.747311242,0.862826086,0.178947931,0.362540354
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.263485732,0.297138262,0.225654398,0.077530466,0.871157916,0.801084543,0.732323423,0.094356838,0.377480679
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.25470097,0.282238104,0.396751587,0.120669723,0.2971537,0.846365863,0.453007969,0.120263967,0.347690206
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.209759642,0.272264145,0.314586125,0.142003515,0.214708428,0.846365863,0.57187342,0.136712785,0.351032178
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.237881945,0.273005607,0.346118287,0.094904155,0.216246854,0.875007811,0.364536887,0.189768087,0.329022374
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.299410408,0.256543863,0.275739597,0.25141908,0.455698196,0.876002298,0.363926597,0.225549136,0.326561005
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.273483043,0.29678009,0.408812812,0.155990826,0.318113156,0.86083318,0.891234803,0.210380637,0.332424923
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.298145181,0.231891744,0.24904814,0.143437016,0.255966368,0.823087451,0.378387292,0.204837206,0.303153825
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.275468273,0.231447742,0.274464739,0.165668446,0.35967442,0.592746006,0.502123563,0.24843583,0.32528022
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.281081223,0.241395355,0.251111687,0.189846509,0.253871219,0.250146788,0.493527722,0.226393938,0.356625947
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.235329563,0.249028408,0.27730665,0.179911854,0.239406921,0.224641791,0.484780466,0.20925464,0.341915825
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.308766345,0.245540336,0.233765709,0.15455526,0.338287972,0.289055572,0.390046464,0.277904543,0.332384188
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.261074436,0.240000067,0.281593838,0.150677672,0.281599045,0.269746176,0.389231185,0.284903527,0.309551084
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.226078174,0.231970398,0.316545777,0.118035177,0.178468429,0.26258449,0.403715212,0.28098542,0.324185971
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.25815134,0.25528154,0.60934764,0.264822973,0.827147159,0.19912255,0.724938544,0.177107266,0.308574853
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.283348708,0.246144406,0.330877326,0.267217108,0.838828888,0.135192253,0.39078564,0.161659415,0.358140101
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.259987131,0.254884067,0.415676708,0.218280977,0.783253607,0.166654374,0.706975984,0.158684402,0.316749087
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.254983741,0.258742979,0.425110332,0.242963554,0.809207925,0.390042724,0.440620893,0.211822012,0.318621257
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.19910808,0.256749324,0.330629249,0.190001803,0.291219483,0.29152283,0.643576228,0.159250812,0.322551405
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.250056686,0.257821755,0.278361978,0.205937422,0.230699604,0.329106329,0.639084972,0.151699062,0.402243728
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.254893355,0.231192854,0.280574131,0.163611158,0.543591343,0.383111628,1.105385525,0.10972532,0.39113591
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.244339884,0.262659995,0.334079399,0.120056197,0.423202476,0.486398648,0.407093443,0.202525284,0.390620628
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.290816781,0.232107207,0.358066805,0.169791773,0.427591702,0.408107944,0.481221322,0.19649437,0.380228235
