bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.135602079,0.196290634,0.327488232,0.038204437,0.252504141,0.474905071,2.436424026,0.2416624,0.236492568
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.160643455,0.163238683,0.201578221,0.029054228,0.261808625,0.529281798,2.43246709,0.22222769,0.250452429
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.151101133,0.165166893,0.24926921,0.031310712,0.521235557,0.465970021,2.518321397,0.20670408,0.294385853
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.160546412,0.188600476,0.17306027,0.021086966,0.196868018,0.36845746,2.512580278,0.208607341,0.262667025
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.170035838,0.198569549,0.868451055,0.055890127,0.196072757,0.472236312,2.534233925,0.211893398,0.23903565
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.132192398,0.171070216,0.425604467,0.060103044,0.105643401,0.430591943,2.501737479,0.210393502,0.257725817
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.183683878,0.138521954,0.202768609,0.024809885,0.167717758,0.315055106,2.364035398,0.234964108,0.252862391
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.13894597,0.311776066,0.156014192,0.037279614,0.076296818,0.418686813,2.462035326,0.204392464,0.257230886
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.201584701,0.158165211,2.471614296,0.035924627,0.326845623,0.293193248,2.36295116,0.281100408,0.292882269
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.148673343,0.17090321,2.471614296,0.057864902,0.243519051,0.314290965,2.379635212,0.219716589,0.244584675
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.165869423,0.15684312,2.471614296,0.020065766,0.292795222,0.321786237,2.294202268,0.213594038,0.262926339
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.173764247,0.146722748,2.537373412,0.013148043,0.175665031,0.315823113,2.212163687,0.200920126,0.236232457
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.201789041,0.17912526,2.537373412,0.009006041,0.082478407,0.277247322,2.279668133,0.253383388,0.226458718
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.1616404,0.168705559,2.537373412,0.108145989,0.117393598,0.328652052,1.504678562,0.21006875,0.291665698
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.170035463,0.162899464,2.537373412,0.086026247,0.216793306,0.306589338,1.860646381,0.222651268,0.273526601
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.162978828,0.168195507,2.425857022,0.008261592,0.42915796,0.268997613,1.916245258,0.232615598,0.277545653
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.224300639,0.168303308,1.859552481,0.017639493,0.594444495,0.255143511,1.992923848,0.231440268,0.323023574
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.178092235,0.15668326,1.956055076,0.037350406,0.078897631,0.226685613,1.840826916,0.224453595,0.338732408
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.136570889,0.194133455,2.1889245,0.017936337,0.057674603,0.281980729,1.954131289,0.212305117,0.29883007
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.156920692,0.21112522,2.1889245,0.017936337,0.138581766,0.245524863,2.50016005,0.315671294,0.303733496
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.143232015,0.214019904,2.228724737,0.015795481,0.140026247,0.245524863,2.468195215,0.235732327,0.246963679
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.14089371,0.166511441,2.326269984,0.007922432,0.112444309,0.245524863,2.514802621,0.268555421,0.28552235
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.152698001,0.265581678,2.326269984,0.008983134,0.112444309,0.231853661,2.534123007,0.296973448,0.251599464
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.152743472,0.148310812,2.326269984,0.084900722,0.090755828,0.231853661,2.011574406,0.233986601,0.253741976
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.19595194,0.188752005,2.326269984,0.015678872,0.118840498,0.231853661,2.359442057,0.211640683,0.257049539
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.167828074,0.27319027,1.795068625,0.071556083,0.116373289,0.231853661,2.172178756,0.275706068,0.258661419
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.203466232,0.237146539,1.89944709,0.13096978,0.15879934,0.231853661,2.046814222,0.26823586,0.257160425
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.149647842,0.138261827,2.138919744,0.092228258,0.139680048,0.231853661,0.941371114,0.247614939,0.295529357
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.151471487,0.128643824,1.992218297,0.099276717,0.152680736,0.238667064,0.877733379,0.277477583,0.242627593
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.179562952,0.194816227,1.992218297,0.059906409,0.164432908,0.23001101,1.481318029,0.243467371,0.26009209
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.193740426,0.16179591,1.943204958,0.05811691,0.156593419,0.23959359,0.503223645,0.245545912,0.24938952
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.180306718,0.185459791,0.285530174,0.026045106,0.116920418,0.23959359,0.698988268,0.214863128,0.264713447
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.230957938,0.18276519,0.422179331,0.024088169,0.317758111,0.23959359,1.390051254,0.250252718,0.279635909
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.125895771,0.207624811,0.235075339,0.046275119,0.257446135,0.237578508,2.054648074,0.237631002,0.251465423
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.157605359,0.142202236,0.214470956,0.019781889,0.096141011,0.237578508,1.831574521,0.223115137,0.24163254
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.208093422,0.195445714,0.547563345,0.02215836,0.178046233,0.23677021,1.660673724,0.230488025,0.291787435
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.194631421,0.216809487,0.211758467,0.008895517,0.165085706,0.232128142,0.473958947,0.225122916,0.262615973
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.203386898,0.224689727,0.269709522,0.017688348,0.205576186,0.232128142,1.134353273,0.215269524,0.26173106
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.202232182,0.183148257,0.237639588,0.01722748,0.286942039,0.232128142,2.099087002,0.253115736,0.288444236
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.271857215,0.235625044,0.338685793,0.025350507,0.352714203,0.232128142,2.221814527,0.256476147,0.317800152
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.165617172,0.230079773,0.198350175,0.024350764,0.360011762,0.230775753,2.091126698,0.280257309,0.259949716
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.144116023,0.136695848,0.189518935,0.027955501,0.118872883,0.232024919,2.398482389,0.280257309,0.260800233
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.295785198,0.159349227,0.282779201,0.044151504,0.13269266,0.238916924,2.357132249,0.280257309,0.259805032
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.152563262,0.182611849,0.325878547,0.060009231,0.115832134,0.25413094,2.393680627,0.280257309,0.248121389
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.14902466,0.238149593,0.488989804,0.024117103,0.274619605,0.25413094,2.193710889,0.259245825,0.254184072
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.193746524,0.177996649,0.17327073,0.038638329,0.269514071,0.2450018,2.173196434,0.259245825,0.257159562
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.131134589,0.149213963,0.651447556,0.064821528,0.707713087,0.264633573,2.195904539,0.259245825,0.304781523
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.151550551,0.184380469,0.288541529,0.05171814,0.149528851,0.264633573,2.254669483,0.250346571,0.243478985
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.172428152,0.184074552,1.234221119,0.05511756,0.114020189,0.264633573,2.242607549,0.250346571,0.300796195
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.178200923,0.194582936,1.493471724,0.027971669,0.108592463,0.261458219,1.700724031,0.250346571,0.288714023
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.244546074,0.197140617,2.168139329,0.068810902,0.140178674,0.261458219,1.121075898,0.250346571,0.258740065
