bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.356977711,0.3578319,0.902471511,0.067856809,0.111145981,0.470781783,2.69957821,0.450032052,0.520473506
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.371610652,0.321502722,1.713088615,0.125685888,0.148799657,0.697362871,2.69957821,0.304453168,0.415242847
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.424196659,0.585515382,1.89082216,0.021913919,0.167050882,0.26406086,2.69957821,0.377764627,0.653516546
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.494784257,0.54262732,2.213655913,0.061807228,0.106676978,0.198543009,2.678762129,0.328358266,0.396660842
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.380296821,0.500650323,2.299988495,0.248473662,0.10306964,0.192445492,2.678762129,0.457575894,0.708088586
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.427866043,0.435891948,2.639376638,0.327999674,0.10306964,0.752845574,2.678762129,0.309637516,0.426859741
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.607246408,0.358835726,2.639376638,0.038113529,0.102315389,1.642344078,2.637305107,0.362038027,0.455466386
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.318905514,0.293437101,2.537960253,0.020305223,0.102315389,1.831382662,2.705091421,0.357354057,0.385699917
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.503322833,0.305974101,2.492980088,0.030301785,0.102315389,1.589053813,2.727529308,0.496299172,0.392239189
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.411056661,0.349668994,2.448309349,0.035972341,0.102315389,0.360547772,2.744173059,0.389060111,0.39432296
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.307769615,0.329217505,2.468170625,0.167158785,0.115597076,0.677188083,2.602332303,0.426501385,0.403530648
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.406158053,0.321027847,2.518907387,0.013643001,0.113386881,0.310390805,2.478819096,0.348395144,0.421873392
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.41652537,0.365094152,2.523335574,0.013632875,0.133415265,0.729097262,2.621007523,0.627771065,0.49190645
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.431356282,0.457828684,2.57721756,0.00983669,0.137758586,1.041215292,2.750241069,0.62339724,0.434481311
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.434908847,0.413999487,2.579133454,0.012732605,0.132989293,0.609628101,2.756787866,0.377784483,0.517703358
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.34291928,0.414320518,2.583465505,0.055966058,0.132989293,0.512613561,2.753815998,0.283189622,0.529021973
