bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.033010207,0.084571691,0.075409486,0.032741412,0.398715459,0.125023583,1.49535309,0.02353678,0.190647178
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.035788189,0.085906425,0.120541467,0.030781269,0.447309777,0.568047322,1.851262966,0.022472641,0.178658865
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.03530175,0.08218806,0.091313821,0.031893569,0.662192411,0.493148142,1.848710325,0.020344388,0.178667642
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.028521571,0.086123747,0.10563774,0.029772027,0.619005912,0.430038446,2.322219829,0.020582259,0.192329466
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.029062605,0.079272128,0.087601744,0.032268243,0.620033135,0.425199842,2.347849434,0.022847671,0.178022884
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.03388747,0.09877138,0.08504148,0.035484624,0.678976931,0.176911793,2.249216902,0.035371394,0.187874793
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.032896606,0.087455106,0.090313379,0.02905652,0.714818785,0.155544757,2.337643509,0.013600799,0.183630999
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.036618414,0.076129543,0.088835031,0.020522335,0.725474771,0.14216015,2.368312546,0.013328209,0.187318578
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.028392871,0.07306182,0.089594548,0.039841618,0.58039702,0.22693607,2.102959978,0.012069491,0.18257409
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.03339665,0.083298535,0.093289869,0.028141913,0.516042659,0.3884009,2.20020239,0.034007225,0.182189614
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.034626973,0.092504799,0.086189938,0.03532343,0.668867029,0.592230947,2.265879914,0.021004658,0.182111291
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.035375903,0.08338746,0.07855118,0.03125983,0.756572949,0.580618127,2.332647524,0.022554062,0.185608596
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.046380292,0.076180046,0.118118855,0.035910365,0.745954334,0.698111971,2.335819551,0.022632509,0.190289485
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.032286418,0.085118087,0.100310937,0.034985931,0.706715509,0.652292512,2.41603342,0.025127289,0.192415617
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.034214259,0.089823821,0.122854771,0.029734315,0.674357292,0.269191253,2.41603342,0.020421778,0.17927304
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.038698733,0.073973956,0.096914603,0.034814347,0.657256223,0.431953439,2.41603342,0.021075707,0.189947838
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.031036314,0.091780916,0.090978916,0.032537656,0.42153813,0.451564114,2.132794457,0.015161064,0.195722731
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.031431461,0.089512407,0.090414335,0.032790811,0.332282946,0.693197895,2.110073652,0.017324828,0.185290127
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.033992513,0.08447234,0.121559678,0.035276693,0.514053022,0.71432388,2.186050972,0.018356041,0.200903135
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.027158359,0.08114059,0.077631756,0.03307396,0.27866195,0.631079451,2.419145687,0.026635754,0.202383803
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.03347325,0.077030838,0.089257235,0.027918026,0.513716126,0.682404241,2.419145687,0.024862944,0.197138107
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.031090388,0.08231688,0.127584258,0.037687723,0.568975637,0.74617015,2.155348971,0.021378979,0.189967635
