bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.019387222,0.070932982,0.084677475,0.024455204,0.197705041,0.557008319,1.09569058,0.011192934,0.188502935
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.023267194,0.073501188,0.073774665,0.022119352,0.190991657,0.430591588,0.33503136,0.008978291,0.193471545
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.024111682,0.057660558,0.078500436,0.028741645,0.190991657,0.643721009,0.243511787,0.018331457,0.170500619
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.019193673,0.060779326,0.14607976,0.021976403,0.190991657,0.673193733,0.177787459,0.014200644,0.171693247
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.023290652,0.063052089,0.081940615,0.017475434,0.202119814,0.687593053,0.521014851,0.008504429,0.183075594
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.021062941,0.065613424,0.077259641,0.018589538,0.202119814,0.074794877,0.213032658,0.012302111,0.190474078
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.023910977,0.076518326,0.083405507,0.025601738,0.202307597,0.090566915,0.210509766,0.013345403,0.211287166
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.026614419,0.072763327,0.100442525,0.024183794,0.155807215,0.105923542,0.201192107,0.016890415,0.191553238
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.027405431,0.086883301,0.09790804,0.018939475,0.166891659,0.244404796,0.352271517,0.01879111,0.170214449
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.018919596,0.063876283,0.141923533,0.02766541,0.157203112,0.460092127,0.228412936,0.010458984,0.184984224
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.017960767,0.063139534,0.088603628,0.024504926,0.183000988,0.586513406,0.224395369,0.013453368,0.178330933
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.026823724,0.080776418,0.114250884,0.021964439,0.142742986,0.627544492,0.208675726,0.009091855,0.178222227
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.017891074,0.083654013,0.084164157,0.02506978,0.148791629,0.571513861,0.34156987,0.016381882,0.183901531
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.017847694,0.072340531,0.076707084,0.019895538,0.113943785,0.684898593,0.211466266,0.014190719,0.182377206
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.020010094,0.073608072,0.072242145,0.019467447,0.181889,0.690640726,0.245886171,0.011320474,0.182229067
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.022961436,0.074145044,0.072622674,0.027000358,0.174462695,0.674344203,0.26782311,0.011562434,0.175765222
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.02437826,0.081988376,0.066815532,0.026875796,0.228732383,0.573982745,0.174822915,0.010103658,0.184050297
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.025134713,0.081745341,0.072330794,0.026609907,0.214537956,0.245619277,0.181038466,0.008188576,0.182289444
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.02679159,0.069752631,0.077436919,0.023482308,0.28147145,0.195371816,0.181626641,0.008488375,0.175138242
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.020729541,0.089133906,0.080859168,0.026222255,0.245034993,0.085203031,0.175954471,0.00898599,0.178652
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.021682568,0.072462143,0.091497701,0.026984511,0.249281284,0.157777336,0.188651026,0.014065395,0.179978691
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.01988035,0.084738885,0.123886067,0.022410882,0.237814271,0.204350393,0.18162822,0.00822359,0.186024631
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.02254184,0.072441335,0.078918426,0.026919304,0.201657013,0.108374944,0.222316008,0.01144692,0.198896063
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.023624694,0.075799538,0.108148652,0.02598504,0.213589959,0.085851098,0.224328422,0.011985849,0.17589106
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.025609328,0.068577285,0.078390878,0.026851871,0.19212796,0.074291388,0.224873754,0.01198737,0.17589106
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.023265578,0.068507674,0.105627216,0.024303611,0.195634818,0.071899234,0.285130093,0.011746611,0.183696655
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.019444859,0.082915227,0.073639761,0.020720379,0.195634818,0.04791606,0.267395439,0.011581401,0.17598944
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.026690188,0.069644033,0.094115106,0.019748244,0.193842456,0.103711463,0.312013422,0.01235902,0.181519801
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.029429653,0.068959593,0.101013896,0.019750005,0.171024101,0.108539407,0.374287147,0.007312207,0.192376596
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.021585148,0.066691175,0.120563408,0.029231504,0.164952516,0.120080447,0.218184893,0.007312207,0.184963796
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.022806448,0.073765799,0.078952713,0.023697991,0.170312989,0.132036107,0.231166464,0.011814076,0.193917493
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.02307465,0.080684087,0.081437386,0.018571821,0.176498916,0.169393339,0.321567396,0.014038218,0.198709837
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.022843283,0.066289248,0.147480882,0.020542123,0.156788358,0.168562389,0.284166499,0.011463199,0.188585484
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.021797407,0.073296728,0.108022803,0.026661255,0.180682174,0.170989877,0.333313215,0.01277236,0.184523952
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.025820347,0.082664455,0.083402842,0.025567098,0.170607502,0.173517766,0.208631596,0.012068843,0.174755634
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.028184044,0.086452287,0.102757467,0.024811899,0.157001856,0.251358475,0.199769964,0.01915953,0.175056097
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.027888392,0.069647185,0.076613127,0.02543694,0.237530964,0.295171047,0.254646171,0.013834301,0.196974055
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.022446228,0.074259902,0.084373001,0.022099755,0.221963328,0.289773051,0.23625716,0.008829618,0.177302587
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.02048726,0.077627332,0.109182723,0.022944793,0.082374113,0.3183247,0.373298371,0.0124041,0.196470398
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.021899369,0.0757473,0.066837101,0.021457457,0.105894452,0.309497296,0.64079588,0.009531117,0.176620434
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.02804096,0.075536103,0.064516267,0.025983285,0.103199512,0.36223145,0.703996135,0.012233761,0.185406292
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.026331888,0.07909041,0.065215722,0.029320722,0.14881214,0.267001042,0.910256954,0.013487938,0.17634999
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.028270025,0.087976104,0.063718394,0.025277343,0.140213068,0.270521407,0.268928526,0.015687827,0.17634999
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.024281389,0.087034164,0.075233023,0.01652994,0.067201756,0.137076197,0.265454827,0.01313008,0.172412263
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.022124246,0.073984626,0.069912081,0.018570979,0.097322367,0.118847261,0.321198053,0.011737851,0.184055092
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.028581647,0.064579979,0.107680122,0.019335075,0.130615877,0.168840779,0.46004935,0.024110349,0.20060715
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.024445361,0.078066044,0.087210154,0.030003124,0.087846841,0.11772962,0.366146382,0.010594412,0.207776983
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.0218053,0.058217709,0.084525186,0.020053947,0.128384692,0.091750512,0.190993381,0.017214567,0.216780822
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.02543461,0.09842895,0.091100673,0.019998081,0.244451856,0.20677165,0.195331101,0.009621029,0.184855033
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.01926555,0.068066157,0.091126685,0.014872804,0.117802749,0.263506627,0.576350447,0.01449355,0.197039393
