bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.478875363,0.616973861,3.573348493,0.139848948,0.490924392,0.662653623,4.310109479,0.741419238,0.7387468
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.440096209,0.448404117,3.988388083,0.108549292,0.455321601,0.666641617,4.164564949,0.763656946,0.608867696
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.43478003,0.481507057,3.630971262,0.100131741,0.414747382,0.793181084,4.320893055,0.407153338,0.593883178
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.44776136,0.424068007,3.797734942,0.174934326,0.330454847,0.782735347,3.476215823,0.549475593,0.611175559
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.447951828,0.398258119,3.743702636,0.139010233,0.209608185,0.743780355,2.357995759,0.537179208,0.458794812
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.544612938,0.5001478,4.01169791,0.050133319,0.062570904,0.420885956,1.017851507,0.5204646,0.778945612
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.433257525,0.462466116,3.272402841,0.049676699,0.466235608,0.504940245,3.734647052,0.570509949,0.731416089
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.364391599,0.326980552,2.925199088,0.254837327,0.529815025,0.738510093,4.27158467,0.692918533,0.522579466
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.746932192,0.354614103,2.938997888,0.1406433,0.606338217,1.091884875,4.323159425,0.577565889,0.607887216
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.471209195,0.37405753,0.490944225,0.24584811,0.414963086,3.902049808,4.567853882,0.411459185,0.536292426
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.433601474,0.346896761,1.749681174,0.040412847,0.623530091,3.425423897,4.523856644,0.719297167,0.55477495
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.36106463,0.377808023,0.908673854,0.112744438,0.578534011,3.621043184,4.457877486,0.859741762,0.530772954
