bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.316965876,0.383827693,4.799616793,0.069837757,0.783542794,0.458722481,4.898167597,0.508312541,0.806189663
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.480856213,0.682662431,4.799616793,0.229335706,0.765813378,0.484089256,4.880070836,0.543474103,0.833802167
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.598011922,0.637563833,4.799616793,0.318686649,0.943378864,0.553407524,4.733155339,0.490847451,0.755470019
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.465108988,0.498856625,4.719217714,0.225633008,0.760042878,0.513262122,4.801509697,0.432774952,0.798232788
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.418647751,0.479386783,4.743393434,0.221764413,0.810019862,0.671438956,4.714508188,0.542653379,0.593696165
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.371118305,0.466793177,4.533138191,0.192102286,1.405613002,0.63135825,4.575229501,0.469572654,0.51741325
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.442962013,0.389101288,4.503885553,0.266806967,1.348752725,0.637153423,4.685651292,0.246633641,0.51741325
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.392952396,0.440643489,4.562484481,0.180313061,1.348976043,0.746895276,4.700008156,0.250518242,0.560856133
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.391707394,0.412165369,2.926512597,0.256488389,1.348976043,1.00083707,4.584433685,0.260409374,0.579013372
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.517487925,0.546827638,2.803680028,0.187730038,1.222876805,0.85613653,4.733515403,0.19854678,0.59434744
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.578541129,0.436459311,1.809263451,0.16204511,1.222876805,0.644754679,4.810675628,0.183301191,0.620724671
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.48109238,0.612208247,2.104617193,0.177532831,1.256954056,0.532725012,4.871090709,0.156760469,0.640102228
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.414842639,0.470680507,1.691947506,0.147390587,1.256954056,0.772798468,4.863647903,0.234198295,0.640102228
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.457394373,0.455260029,0.956265578,0.236295274,1.256954056,0.645187802,4.892827922,0.235122239,0.536413564
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.412339449,0.502187366,0.427543139,0.084208485,1.196761441,0.716519837,4.888738812,0.342673428,0.651299024
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.457108828,0.421694744,0.609591195,0.346375839,1.317123012,0.962961656,4.862954664,0.48881725,0.608376513
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.441076818,0.309763737,0.598228872,0.263391908,1.317123012,0.593806929,4.896906149,0.429851938,0.625269964
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.395085403,0.339242937,0.440204103,0.119969973,1.299131671,0.762007902,4.834648715,0.477207818,0.590700471
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.406943142,0.393974672,0.465607307,0.151664887,1.299131671,0.925224954,4.661131527,0.463710713,0.636193047
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.384013393,0.316587627,0.531972168,0.289835301,1.299131671,1.45714408,4.584692359,0.489655787,0.619582525
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.446193765,0.611002608,1.268303896,0.170777776,1.299131671,1.296837579,4.24643124,0.528696597,0.542687602
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.52678717,0.418545448,3.045747192,0.335038328,1.398719065,1.019289238,4.580832915,0.637447402,0.533559925
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.418409121,0.446203962,2.082691343,0.140633554,1.40110997,1.166786728,4.486092037,0.744567223,0.523763519
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.516885169,0.535584119,1.572682762,0.09321425,1.221783965,1.167927225,4.22602797,0.616725948,0.543258706
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.328522504,0.495119063,1.144579273,0.145848993,1.078560189,1.180254863,1.964678104,0.738438235,0.552646844
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.440697194,0.827912221,0.988090162,0.274191962,1.043354095,1.372283341,4.341252977,0.76209311,0.517817532
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.475521633,0.333101372,2.377490506,0.362143767,1.036234279,1.522264249,3.954995117,0.495034144,0.519537995
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.529493766,0.415862838,0.92070777,0.169088149,0.945029493,0.89405282,4.076625318,0.42857307,0.521397343
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.372993208,0.349023792,3.417794603,0.23205482,1.143796088,0.801187828,4.355367609,0.517905147,0.500091466
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.508635817,0.485217748,3.950671739,0.216300911,1.108480235,0.56472287,3.068556122,0.533379014,0.805438866
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.457365088,0.396408333,3.126822535,0.197613368,1.029963663,0.550295211,3.118395899,0.442882235,0.754005736
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.595797892,0.512407972,3.364680281,0.162851396,1.029963663,1.319911242,2.423440932,0.645039791,0.600995878
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.429981841,0.48690121,4.075647474,0.231268842,0.923414769,1.229573246,1.876983008,0.516849091,0.540343014
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.485667518,0.446755266,3.765234556,0.279565545,0.888575446,1.202243102,2.18044818,0.540203629,0.622061059
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.405730548,0.547590329,4.619140236,0.265179919,0.783142495,0.811720757,2.381898649,0.650275524,0.532771181
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.59436513,0.659819663,4.1197931,0.051827774,0.817334583,1.353124415,1.239179278,0.782406856,0.526270543
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.533900945,0.884741152,3.996353897,0.038834961,0.869848999,0.798895888,0.865021607,0.590422469,0.566376644
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.540832713,0.556694387,2.245445171,0.027860489,0.738174082,0.69219687,0.770978586,0.505074186,0.571378033
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.421332584,0.43745084,2.253125857,0.017418695,0.914136384,0.929165846,0.778299645,0.554250792,0.584768188
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.632236258,0.460560518,3.460818955,0.007913721,0.882262334,1.065124056,0.924660219,0.465773528,0.626311186
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.34064561,0.499465738,2.941154239,0.013169164,0.918385191,0.91411111,1.029298975,0.471925188,0.507662562
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.402834861,0.508078172,3.666738078,0.013532969,0.995764129,0.839546897,0.808687297,0.48765648,0.710667488
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.412927186,0.383719577,3.337612965,0.017385638,1.151225572,0.912887281,1.16247628,0.657013881,0.667471474
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.521352188,0.475169069,2.989202988,0.126510231,1.484924712,1.07586974,1.986307122,0.376606251,0.583486568
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.409271784,0.421204127,3.529348556,0.118979822,1.484924712,1.051298647,2.214284985,0.535233666,0.626733224
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.495160079,0.464271442,4.105640566,0.136133227,1.34247683,1.062319509,2.469482923,0.528996587,0.546015525
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.79162309,0.341477666,3.57361093,0.277999048,1.169009088,0.970582146,3.293932802,0.516880524,0.561509615
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.515322742,0.345491695,3.150359759,0.337053341,1.187741236,0.774470944,3.259673636,0.358248435,0.536504509
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.577722897,0.43434019,2.851096321,0.242580274,0.807984801,0.879731957,1.793061681,0.432187351,0.766795015
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.415848076,0.492023248,3.04959472,0.10954684,0.802098359,0.965425788,2.768221359,0.54164201,0.659719948
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.404714655,0.376352558,3.476662854,0.072992145,0.79391955,0.808533658,2.925632927,0.491371369,0.600833151
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,0.394776535,0.512666286,3.576790609,0.232856923,0.787970634,1.024172423,3.385862082,0.4486136,1.092957576
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,0.44814842,0.381784838,3.913900339,0.205437325,0.779325192,1.02466723,4.677270068,0.556356985,0.589183203
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,0.386394498,0.545708929,4.014684611,0.094206777,0.735298786,0.990652297,4.008713151,0.570434917,0.569010699
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,0.366182329,0.393693466,4.03934759,0.09245478,0.769387148,0.745195701,4.694734484,0.568301303,0.605509553
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,0.399770023,0.574171164,4.703248109,0.172816438,0.712356802,0.810343888,4.835800869,0.639773768,0.619793885
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,0.558628991,0.407354617,4.577685912,0.177025779,0.909103778,0.996327879,4.997998221,0.640333682,0.887152855
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,0.430869951,0.416267709,4.670712876,0.354349128,0.695756704,2.026951543,4.997998221,0.690414403,0.781810737
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,0.399243063,0.410873079,4.670712876,0.23228551,0.848120005,2.336195188,4.928339045,0.550629323,0.721607003
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,0.473782419,0.426427838,4.665096513,0.281468485,0.589639146,0.557792747,4.869748247,0.736620761,0.557631141
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,0.293848239,0.624443719,4.728029938,0.243723303,0.654506471,0.508587156,4.962053627,0.617378828,0.549702607
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,0.415995147,0.446629912,4.728029938,0.064519405,0.751985641,0.536174669,4.962053627,0.546492998,0.732427751
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,0.509146888,0.38594999,4.734722693,0.02411817,0.686447172,0.548963717,4.943982423,0.51360108,0.598892724
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,0.397026835,0.548120145,4.761061844,0.055091686,0.447742478,0.636618204,4.724425687,0.592288461,0.627841094
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,0.48043816,0.430743216,4.764595827,0.099824882,0.660765667,0.905820234,4.887751623,0.744334767,0.627841094
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,0.561700553,0.529922002,4.699199055,0.114907128,0.545545138,0.790968329,4.784714727,0.411646731,0.776939223
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,0.514755774,0.402071153,4.394092316,0.115377056,0.615127229,0.708532214,4.595385851,0.428382071,0.654604914
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,0.517877724,0.396460919,4.464866592,0.09485928,0.692386937,0.796580621,4.241825345,0.435851417,0.961695864
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,0.383148326,0.537328209,4.548225592,0.171937402,0.750850328,0.801637916,3.702953402,0.497695127,0.729823113
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,70,0.507898434,0.525569626,4.549358292,0.187107208,0.761586221,0.90205603,2.948407142,0.453209423,0.646434262
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,71,0.495222035,0.67500354,4.450323895,0.207921127,0.647669448,1.320242677,3.229093769,0.581367347,0.572805105
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,72,0.372006375,0.384768609,4.35201578,0.171818598,0.621027365,2.729022694,2.490968471,0.563206195,0.537307522
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,73,0.37200543,0.37209759,4.568855987,0.217572711,0.46657098,1.874251177,2.379565123,0.492761442,0.66165847
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,74,0.426862262,0.66793627,4.716238588,0.249180253,0.474536616,1.745527954,4.299956901,0.521623856,0.625651912
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,75,0.439183234,0.579208152,4.752184661,0.181369716,0.741631939,2.4193657,4.501426409,0.465962228,0.58283252
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,76,0.430129605,0.414258816,4.752184661,0.148716079,0.935042267,3.374825234,4.673454662,0.700751575,0.577019836
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,77,0.544730514,0.379388272,4.755844088,0.170840218,1.205832216,3.288001763,4.55136427,0.509550085,0.675127623
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,78,0.684439604,0.502760626,4.755844088,0.193687845,1.267168146,2.06628637,4.110777286,0.448147359,0.623145033
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,79,0.577432452,0.439729859,4.755844088,0.131227685,1.240922462,1.284747508,3.976318309,0.532767665,0.676515337
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,80,0.424022606,0.396652064,4.597640965,0.350989377,0.850613869,1.766819045,3.834013678,0.529252736,0.555829583
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,81,0.378640303,0.515411613,4.547855899,0.085409116,0.561613709,3.571482796,3.654160923,0.437198545,0.617264206
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,82,0.335697179,0.395967265,4.616729178,0.080846484,0.683463647,0.514006063,4.361615348,0.598250597,0.598644204
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,83,0.460818489,0.383317817,4.692985077,0.1037008,0.298968399,2.306893056,4.139402715,0.707687843,0.548611246
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,84,0.396874045,0.393574432,4.692985077,0.372098986,0.227782253,1.126271056,4.652727315,0.651589937,0.795831142
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,85,0.454134109,0.477654285,4.646839279,0.437240133,0.174025505,0.826297516,4.735187556,0.430535018,0.615082242
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,86,0.383803047,0.415199021,4.352774253,0.469773028,0.197160683,0.898004495,4.84550098,0.43221366,0.682128631
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,87,0.396398675,0.463800913,4.698727461,0.084517769,0.205261995,1.212402651,4.887382212,0.52377928,0.542026765
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,88,0.409342713,0.533639269,4.616787071,0.507207931,0.601132838,0.81746927,4.887382212,0.581248277,0.526106701
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,89,0.461717114,0.432989187,4.817382687,0.090121889,1.358097898,0.768897222,4.853480003,0.556706533,0.62892186
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,90,0.498491531,0.489011626,4.817382687,0.225128039,2.337446834,1.2816956,4.853480003,0.441290537,0.617384375
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,91,0.502944519,0.374077002,4.814930611,0.247074635,2.585521895,0.630460932,4.853480003,0.49360777,0.741602032
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,92,0.402690856,0.603547518,4.805095167,0.270317478,3.027551629,0.895735447,4.790961622,0.494454379,0.668098311
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,93,0.467003069,0.460819214,4.805095167,0.409858833,3.592819596,0.525140303,4.842541322,0.550650111,0.673426106
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,94,0.502031562,0.610194278,4.732996843,0.114760692,3.912772492,0.609765601,4.842576424,0.451871231,0.676129056
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,95,0.46657604,0.434956838,4.761440215,0.096671432,3.360534356,1.077551492,4.752645294,0.468727919,0.796404982
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,96,0.379068123,0.486808142,4.734664118,0.163361343,2.448443328,1.272476435,4.736067157,0.410234137,0.694926375
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,97,0.278749332,0.537709979,4.734664118,0.189850683,2.608747044,2.374994791,4.827676008,0.612439167,0.588203018
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,98,0.428220316,0.496532586,4.666486469,0.216911418,1.647058452,1.020665442,4.707143275,0.300359052,0.578579565
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,99,0.536677394,0.419183417,4.60384477,0.172610373,1.752804237,1.773816959,4.601773991,0.249839234,0.646389852
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,100,0.429906735,0.469255226,4.180399595,0.165509426,1.328685495,1.751617521,4.65131608,0.266070427,0.69853249
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,101,0.355185273,0.433345383,4.143826871,0.244909193,1.380139223,2.732497159,4.57439964,0.384782652,0.559327579
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,102,0.519886309,0.375524994,3.972260561,0.426383866,1.46525862,2.607556303,4.065403788,0.415077734,0.536592896
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,103,0.419059265,0.381830131,3.922889505,0.160317782,1.606783359,3.181767833,4.199713756,0.424606691,0.634453528
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,104,0.498550928,0.533184622,3.992025679,0.106573847,1.189642428,3.110698535,4.138960064,0.413279575,0.643885657
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,105,0.471683366,0.51939675,4.168796797,0.123025619,1.020675551,2.612174592,3.036584924,0.456396113,0.752631893
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,106,0.67056352,0.429317528,2.928168284,0.10822996,1.013403422,2.012007553,1.217778803,1.106077887,0.563234916
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,107,0.347536575,0.399782573,3.463165479,0.117262728,0.590499371,1.858798239,1.129627762,1.14127231,0.552477589
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,108,0.472552467,0.395836153,3.823584537,0.102952116,0.745108063,3.131073805,1.293338156,0.501576726,0.504142899
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,109,0.408429953,0.453634002,3.661790972,0.092902559,0.929540415,2.976039897,0.750942295,0.442425163,0.574612888
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,110,0.509643024,0.351114611,4.030580092,0.071432919,0.954555526,3.960436893,1.427272497,0.387813141,0.695442077
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,111,0.405510904,0.390100482,3.390296952,0.07660335,0.740755649,4.054758947,1.393300535,0.589532807,0.648465327
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,112,0.425670493,0.558062724,3.714811517,0.335532202,0.627298017,3.569595559,1.174041044,0.628043873,0.5382563
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,113,0.359264593,0.345365401,4.627955485,0.524230249,0.459674374,3.367968986,0.735133911,0.523215589,0.456396453
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,114,0.294815754,0.343484433,4.718869448,0.224912669,0.500135285,2.581792987,2.140549271,0.463048979,0.477393767
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,115,0.410737095,0.388390266,4.676749781,0.410241708,0.638918757,2.506696939,2.200713095,0.474095232,0.612487189
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,116,0.420421148,0.423302526,4.676749781,0.18968012,0.37361228,2.443315993,3.298193636,0.373001778,0.585266599
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,117,0.540999546,0.374610004,4.826096734,0.223608278,0.757820526,2.937648109,3.176990281,0.447560675,0.504417388
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,118,0.487253571,0.361566422,4.759616392,0.150551312,0.7079775,0.912685128,3.602264823,0.351311582,0.63367317
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,119,0.438625485,0.35262843,4.759616392,0.29544889,0.718025411,0.912685128,2.865450507,0.508138476,0.582233711
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,120,0.374197919,0.39780714,4.782436393,0.126332239,0.631610493,0.921377847,3.67915722,0.417499745,0.524418119
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,121,0.400477359,0.455115713,4.670092788,0.268925012,0.610217205,0.906129249,3.062928293,0.463938231,0.654365672
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,122,0.57248435,0.423086062,4.7734577,0.097744426,0.595271767,2.598537568,4.503433935,0.469895622,0.674783827
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,123,0.359396407,0.381622169,4.7734577,0.19290141,0.640732495,2.470806664,4.786972574,0.325829077,0.54450678
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,124,0.502983386,0.476438273,4.796792682,0.236032199,0.632148243,2.389688478,4.818486223,0.202193305,0.627723955
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,125,0.497525342,0.481166674,4.701698409,0.226799893,0.638762676,3.280309704,4.880846713,0.412950645,0.576376294
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,126,0.804966678,0.410412481,4.726391703,0.177924292,0.581598668,3.345461561,4.892453081,0.454881749,0.503328637
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,127,0.296684948,0.523690145,4.437111505,0.152954274,0.542099209,3.626972323,4.823544681,0.356233903,0.506776988
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,128,0.379614962,0.347027612,4.308240316,0.098574253,0.676546831,3.687910799,4.899619812,0.482733054,0.506776988
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,129,0.695306639,0.315999097,4.010799807,0.185529233,0.668423366,3.040718738,4.881613719,0.436806865,0.477097613
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,130,0.490511171,0.578350344,4.12382958,0.248253759,0.640427495,2.819577477,4.741439077,0.351328174,0.57458819
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,131,0.611315055,0.508591655,4.024063551,0.116860683,0.603438402,2.24448684,4.814104256,0.667481869,0.647166725
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,132,0.415884686,0.405093057,4.178801475,0.209635564,0.14979106,2.387634416,4.853628761,0.619048973,0.519331123
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,133,0.500863964,0.360610633,4.311517467,0.216103998,0.635635845,2.379914219,4.866590964,0.394640956,0.777559156
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,134,0.314007358,0.359298529,3.857303401,0.151610178,1.582162414,1.992151328,4.820844188,0.584210593,0.883939593
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,135,0.376828545,0.399084756,3.808776056,0.085088892,2.208276122,2.266844752,4.388140642,0.672617772,0.782071905
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,136,0.566946789,0.517076803,4.029580132,0.097271833,1.442964611,3.226504604,4.252522351,0.602579003,0.793207091
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,137,0.498655333,0.492761647,4.082788958,0.078013987,3.246901908,2.463532202,4.6207842,0.442722916,0.514219368
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,138,0.391754549,0.5499604,3.915118558,0.207140053,4.132109122,1.0702724,4.699010361,0.47067859,0.634451802
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,139,0.389762006,0.59436513,3.515691716,0.956763052,3.902691879,1.107521781,4.73785328,0.509824059,0.643724853
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,140,0.478715281,0.527874282,3.923118506,0.760934095,0.763739568,1.043461231,4.716571766,0.541045313,0.712907166
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,141,0.445717768,0.369584604,1.05925701,0.502200723,0.472542498,0.841417322,4.629999852,0.531466466,0.551076707
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,142,0.471970683,0.565658017,0.849015416,0.443514067,0.252816456,0.702001209,4.643695573,0.467603368,0.595169379
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,143,0.580452477,0.674593095,0.771636061,0.427970308,0.427208605,1.310722961,4.453825568,0.460729715,0.544801078
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,144,0.596427583,0.53322345,0.686654013,0.488427311,1.16589452,1.354600617,4.611356885,0.462823156,0.623214009
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,145,0.440103188,0.454919194,0.636931443,0.121275645,1.232326737,1.263187736,4.591453717,0.431758829,0.562350806
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,146,0.375190181,0.489542091,1.045121313,0.106880047,0.987353042,1.424447039,4.690488054,0.474519905,0.647871359
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,147,0.337541444,0.38487226,4.418009724,0.185575024,0.712376603,3.709960742,4.113987544,0.294389546,0.561608523
