bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.45226136,0.181399003,0.438947529,0.005391385,0.004833419,0.034082174,0.476180352,0.00790817,0.212700945
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.003559202,0.243493054,0.442865288,0.005543643,0.00492572,0.042284625,0.474900991,0.004349916,0.153844556
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.01579824,0.212158821,0.425910492,0.004828146,0.00492572,0.039596964,0.476985438,0.006534316,0.157362501
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.012930378,0.286448625,0.389555502,0.004440411,0.004849868,0.005480727,0.476985438,0.003408699,0.196106425
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.014471256,0.1371165,0.399582614,0.004455056,0.004849868,0.005217746,0.476985438,0.027930438,0.168314969
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.005897247,0.157440445,0.414865524,0.003714957,0.004906226,0.00434585,0.47586351,0.008487226,0.182857553
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.005029089,0.225922227,0.425263708,0.002706734,0.004887599,0.004541953,0.461030066,0.007218673,0.239066295
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.009584404,0.230520686,0.405362218,0.003203858,0.004962643,0.004838115,0.440109835,0.017121143,0.13373272
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.001881265,0.213087262,0.382156064,0.003496332,0.00491744,0.024250358,0.407051652,0.004487371,0.237347871
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.005045576,0.284355125,0.371142893,0.003884972,0.004827733,0.014879229,0.34416901,0.004165944,0.192837942
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.003765847,0.30078061,0.371715852,0.005501362,0.004952481,0.004723548,0.275172097,0.014119756,0.126803909
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.004064334,0.186872488,0.378997797,0.009584404,0.004886054,0.004508814,0.302748852,0.007223014,0.195115351
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.003678378,0.199833565,0.375695037,0.011518974,0.004881935,0.010170639,0.431962243,0.008194026,0.209793696
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.002005012,0.159450192,0.430913453,0.010158874,0.004881935,0.021179945,0.417458448,0.009197112,0.230806594
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.006620435,0.200868537,0.417965216,0.014457814,0.004989117,0.027382658,0.416164935,0.005753113,0.157196112
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.010635539,0.186506744,0.409060877,0.012725223,0.00506745,0.020566734,0.425680849,0.005319691,0.193324277
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.006102329,0.204995522,0.439817865,0.022285867,0.004820039,0.031608815,0.408266247,0.0043273,0.146861934
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.002324086,0.20056632,0.428915632,0.015506252,0.004820039,0.033127552,0.453611087,0.005086474,0.181237987
