bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.003086361,0.300116775,0.79396048,0.005221177,0.006180339,0.003582001,0.398749698,0.011013575,0.525483845
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.004004206,0.458194165,0.598462214,0.00648979,0.003571691,0.003410349,0.428635326,0.002623563,0.513992733
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.003973675,0.32477324,0.505177061,0.003823233,0.004872359,0.005146075,0.434008375,0.001843081,0.285242096
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.003861486,0.421681606,0.523962811,0.004103668,0.005164439,0.005088759,0.466195222,0.002937574,0.312008082
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.003896003,0.414849894,0.543449327,0.003710259,0.004910599,0.003739148,0.471452247,0.003755525,0.274356259
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.004856061,0.397787628,0.448801908,0.003789193,0.005920995,0.003651821,0.470380469,0.003226666,0.246459096
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.005283151,0.332393842,0.410018407,0.003744171,0.004233503,0.003478881,0.470401085,0.006753628,0.353770575
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.002984146,0.333687817,0.47891418,0.003439992,0.004059902,0.002748321,0.480336335,0.007212995,0.276775306
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.005644421,0.299821326,0.478907242,0.003545301,0.009710399,0.006564486,0.478914572,0.005885877,0.226412443
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.005532229,0.361477706,0.477654718,0.00517947,0.005900859,0.0045758,0.48028746,0.005664694,0.229000125
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.002529614,0.279687307,0.466163312,0.004516289,0.006053112,0.005519862,0.474385286,0.008666644,0.334988537
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.005365616,0.243607335,0.471449751,0.004554482,0.003608847,0.002911642,0.466749177,0.003232921,0.344218986
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.004134301,0.204531471,0.479217876,0.003577802,0.003986282,0.002300817,0.477614571,0.004946597,0.255208183
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.004182925,0.22472555,0.479423146,0.003658906,0.004599003,0.003454868,0.505285932,0.005773888,0.274690322
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.004397032,0.237528062,0.479588095,0.003833712,0.006653309,0.003007599,0.505285932,0.005068074,0.415109609
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.003592057,0.337347034,0.487467293,0.005114413,0.003934502,0.005676892,0.50409823,0.0081029,0.307026494
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.006732724,0.377826442,0.490337319,0.003885703,0.003292939,0.004899464,0.503842976,0.007873685,0.309419917
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.004901509,0.335772054,0.490337319,0.004922179,0.004731746,0.004194594,0.548746388,0.00424019,0.227513889
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.008101178,0.354140609,0.487103364,0.003780508,0.004798414,0.004220386,0.555974737,0.003666318,0.680985748
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.004266,0.220126527,0.486959326,0.00348003,0.004791654,0.004040466,0.483323519,0.009013235,0.2507795
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.004138053,0.260808435,0.486959326,0.004302868,0.00453587,0.00405354,0.483148038,0.004734354,0.253811555
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.005354542,0.315450112,0.487885425,0.005534455,0.004801558,0.004994615,0.484184952,0.003142137,0.214193341
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.003557028,0.226140032,0.489954472,0.00401199,0.00359988,0.005656114,0.483685532,0.005293977,0.392220515
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.009387898,0.303607964,0.489940295,0.003459107,0.004632951,0.005618971,0.481484003,0.004128381,0.330450044
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.005331185,0.333010931,0.49359833,0.004291366,0.005442579,0.004920879,0.484754175,0.003593977,0.246276102
