bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,1.566081622,1.01238518,2.707472832,0.725668766,1.186538938,0.74651146,2.70885825,0.918699504,0.985754946
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,1.553660824,1.913947689,3.315388933,0.725668766,1.186837005,1.621280807,2.624672921,1.080758123,1.002009291
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,1.21333208,1.715192878,2.924010597,0.652886583,1.188181552,2.339421945,3.063713122,0.896060842,1.260970261
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,1.146724628,0.816755091,3.071637135,0.859282956,1.178833079,2.50353202,3.297312803,1.174252809,1.272029184
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,2.080559571,0.840398734,2.629269749,0.859282956,1.178689075,2.924805679,3.218336607,1.192693359,1.093264663
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,1.066651264,0.944572956,2.55433271,1.401940978,1.174732877,3.323939781,3.501326064,1.393479483,1.207810103
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.900788969,0.883869868,3.170868907,0.813045254,1.179728031,2.454408656,3.513592717,0.716407467,2.604143667
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.895524634,0.911100759,3.255005483,0.950745814,1.185986641,2.98494735,3.464996628,1.150082158,2.156028118
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,1.11630415,1.063978726,3.368465976,1.505024085,1.186233538,1.609788702,3.442312341,1.018995867,1.38283299
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,1.237544642,0.977818952,3.557337443,1.10379846,1.176393198,1.025032228,3.442312341,1.114732345,1.219210925
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,1.294992616,0.982704473,3.550142704,0.776008432,1.111934778,2.045519319,3.183070733,1.013051514,0.840140677
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,1.28323569,0.934142889,3.070304565,0.7088066,1.195289886,1.23168152,3.400270915,1.219455686,1.430590339
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.785638354,1.032933326,3.022072479,0.684133975,1.188674814,3.638370742,3.366756347,1.170032455,1.432824037
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.808237347,1.093949873,3.099817388,1.081939894,1.169910644,1.807680968,3.216478063,1.14392181,1.404348648
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.874593444,1.194724472,2.26637352,1.053554556,2.135314595,1.34974694,3.340001945,0.98800372,0.846013129
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,1.390994667,0.79471312,2.701054888,0.913022345,2.160560501,1.442499505,3.249347594,1.18353509,1.039690823
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,1.212539541,1.116975844,2.450089772,0.841812039,2.250652663,1.975611803,1.33867521,0.988509375,1.093945891
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.723500004,1.014646039,2.013133872,0.759556428,2.166063501,1.332944312,1.689152018,0.836431519,1.195754882
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,1.094963871,0.823369093,1.757544196,0.517641656,2.167692451,1.968964629,1.598356873,1.408488417,1.02164058
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,1.197116562,0.788830597,2.445561063,0.527484449,2.262374484,2.565141208,2.066815564,1.276617519,1.296705405
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,1.063914842,0.957495658,2.803028868,0.55230231,2.15519174,2.688810048,2.870333357,1.768391225,1.267619848
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,1.00377233,1.131513518,2.752126528,0.76316818,2.214447078,2.470882783,2.948857802,0.558334766,1.500458113
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,2.107425485,0.86690707,3.443963059,1.034489733,2.234637287,2.999301627,2.645604938,0.768676893,1.279240944
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.847918941,1.454499124,3.510191103,0.608639051,2.001156712,2.405366993,2.87777132,1.776208436,1.174190847
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.873633033,1.338395272,3.5510885,1.019169601,1.828305608,2.421749562,2.625853478,1.094520135,1.249810605
