bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.931075936,0.597238275,1.95004824,0.481986323,0.236987329,0.203904859,2.740994313,0.272353265,0.881801448
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.880665418,0.6340279,2.363798064,0.433876032,0.232424721,0.197911475,2.783480441,0.293678263,1.089354574
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.735362285,0.573947524,2.31683711,0.114076515,0.230563235,0.237499374,2.778582589,0.722455206,0.87445716
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,1.031721798,0.582307903,2.325462503,0.208157618,0.269243237,0.168956885,2.778582589,0.260565842,0.747595279
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.903396477,0.598490216,2.556352267,0.182618746,0.402787268,0.229898212,2.748872918,0.255640626,1.328402975
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.7718961,0.626581945,2.559753235,0.124454159,0.195422494,0.222057223,2.790093779,0.276191865,1.180085321
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.843003824,0.907264516,2.205041169,0.178724805,0.24054482,0.283447089,2.731827056,0.334447382,0.79466594
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,1.088423995,0.791580034,1.714545825,0.094081354,0.170895612,1.038765803,2.757217025,0.63976336,1.085341754
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,1.235839235,0.920947713,1.180467084,0.333616209,0.211051106,0.704996864,2.736394962,0.504438009,1.038404912
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.961554472,0.652898656,0.927365748,0.166434141,0.202478444,0.934146792,2.79079149,0.390001828,1.113911572
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,1.054661791,0.79384011,0.912784693,0.196211725,0.303975926,0.171202683,2.811008419,0.342468266,1.016451123
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.746132933,0.915821982,0.746677614,0.208830543,0.304625723,0.206154419,2.792039111,0.35135008,0.88360787
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,1.032552556,0.792571191,1.455491597,0.281907683,0.253455405,0.311337296,2.811809695,0.35135008,1.034942623
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,1.089388507,0.816046311,2.843526007,0.13559616,0.236303096,0.217052513,2.786792727,0.346048702,0.98945551
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.956515235,0.728330373,3.03702342,0.322171301,0.266220607,0.432436426,2.778690887,0.302949499,0.832224388
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.779987068,0.861268557,3.03702342,0.317210819,0.298001164,1.32559111,2.70810245,0.302949499,0.826543057
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,1.051411563,0.839601699,3.091776267,0.355106495,0.292481441,1.5662473,2.647467121,0.376255883,0.958416784
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,1.033147798,0.707016207,2.806498413,0.163313905,0.23645627,1.764116318,2.592823161,0.323744693,0.963937368
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.844832787,1.044904773,2.497172336,0.244917851,0.196795782,1.177212195,2.767069261,0.34770073,0.844653555
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,1.253935055,1.035658215,2.353824219,0.21259614,0.260112919,1.297788094,2.745102034,0.266566062,1.248470873
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.836570236,0.851672442,2.138531037,0.04496409,0.189304718,1.21392717,2.713996234,0.760578611,1.438787852
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.800694132,1.008116092,2.335905353,0.090878504,0.110035842,0.744217962,2.606838035,0.471052515,1.209274356
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.987162317,0.978338861,1.975580948,0.0896156,0.342427587,0.752925355,2.50197947,0.294491115,0.971371082
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.785456586,0.9150389,1.674185402,0.685990672,0.255022902,0.919206521,2.577223595,0.324780875,1.021461217
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.974308186,0.74028822,1.706468057,0.528015261,0.164975208,0.784278056,2.631042146,0.319102573,0.7730156
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,1.255077698,0.812524874,2.144501105,0.400043562,0.170983836,0.887049731,2.536343307,0.319102573,0.913024085
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,1.569279102,0.966735039,2.342642164,0.211220012,0.171000317,0.363367921,2.723328693,0.246122275,1.022697751
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,1.111505468,0.830303618,1.984961895,0.189223691,0.243385435,1.066032654,2.705102695,0.246122275,1.029811558
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.894847824,0.690940715,0.920137556,0.259567828,0.16843865,0.286748767,2.597984424,0.387976263,0.942237379
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.637973562,1.459827213,0.922519781,0.366776398,0.169108977,0.232031621,2.646646403,0.430484899,0.928369707
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.876560441,0.793031762,1.51241345,0.201112511,0.285168439,0.386667777,2.705452995,0.60909942,0.941848218
