bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,2.305771506,1.565343893,2.770960683,1.517862157,3.885262489,1.332428889,1.671768134,2.929763715,1.951853636
"BMR = 10%: Added, BMR: 0.1",2,2.938801694,1.459503782,2.689317622,1.587844405,5.480723698,1.281790729,2.439167661,3.049726844,0.75687082
"BMR = 10%: Added, BMR: 0.1",3,3.215665567,1.162182357,2.656020527,2.365751637,3.618026381,1.607213915,2.031818692,3.871323747,0.732084879
"BMR = 10%: Added, BMR: 0.1",4,1.876591844,2.240345463,2.896504281,1.950264968,3.034256333,1.110303597,1.379075986,4.056608024,1.008801294
"BMR = 10%: Added, BMR: 0.1",5,1.275188339,1.564565507,3.368001244,1.746724519,2.93078576,1.541193563,1.913432478,3.536746706,1.105737823
"BMR = 10%: Added, BMR: 0.1",6,2.201418886,2.163543675,3.415508618,1.932826339,3.04034319,0.997883279,1.869337603,3.032331452,1.139516463
"BMR = 10%: Added, BMR: 0.1",7,2.090473813,1.515899331,3.081694742,2.18960139,2.904976379,1.232642703,1.66478256,2.874264995,0.920950266
"BMR = 10%: Added, BMR: 0.1",8,1.117654125,0.997767703,3.135058869,2.17073742,2.89811301,2.013902288,2.288994563,3.035956166,0.826440202
"BMR = 10%: Added, BMR: 0.1",9,1.786535727,1.678885371,3.032461946,1.959253032,2.882085839,1.540154533,1.688685458,2.995059529,0.718349563
"BMR = 10%: Added, BMR: 0.1",10,2.172365513,1.613871679,3.032461946,1.959190537,2.712114497,1.475764764,3.039179643,3.025520473,1.736663166
"BMR = 10%: Added, BMR: 0.1",11,1.771412367,2.330412627,2.836397387,1.791294545,2.788128615,1.7442404,1.265560999,3.001163248,1.219241585
"BMR = 10%: Added, BMR: 0.1",12,3.896924393,1.632089186,2.799518071,1.368153725,3.356512877,2.093289629,2.354773298,3.038897865,0.508501699
"BMR = 10%: Added, BMR: 0.1",13,2.013416951,3.044887331,2.822296797,2.596514601,3.33927778,2.022183018,1.446581868,3.038897865,2.254620443
"BMR = 10%: Added, BMR: 0.1",14,2.112380275,3.49815894,2.794192067,2.922900627,3.50664476,2.713753263,1.773602688,3.078503183,0.617717612
