bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.585952376,1.213659462,2.750058819,0.010692656,0.0169177,2.314281699,2.704272412,1.009038636
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,1.5791687,0.602446445,2.718177797,0.008362452,0.017408201,1.894046526,2.638855909,1.299636617
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.957810275,0.779936356,2.388603437,0.007896886,0.01674282,1.894046526,2.688841981,0.621532957
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.604208745,0.920356248,2.720326303,0.008377877,0.020220196,1.283109414,2.712593848,1.840084251
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.523489992,1.222345742,2.694310952,0.008859927,0.020358647,1.791567482,2.745500774,1.108790501
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,1.574015863,0.660032097,2.810226619,0.00831032,0.018303829,0.451212029,2.713870156,0.88993118
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.808353995,0.951214568,2.652939777,0.007871911,0.028695348,0.370626861,2.650993827,0.816887311
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,1.031373422,1.177099651,2.684135314,0.008063094,0.019179316,0.548084332,2.592500324,0.79603591
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.759053516,2.755486771,2.684135314,0.007575416,0.018330835,0.485402975,2.595618192,0.799916993
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,1.044804715,0.61505701,2.681612752,0.007716322,0.018772628,0.546695118,2.593311262,0.787047099
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,1.13331136,0.616641821,2.681612752,0.007387813,0.018742518,0.670696602,2.629346949,0.683757922
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.640461672,0.721620896,2.617257102,0.008734801,0.018241634,0.795663245,2.514080463,0.720618584
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.773732317,0.588192126,2.667729085,0.008683718,0.018241634,0.565204154,2.498741461,0.698781712
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,1.022811092,0.73520503,2.667729085,0.008672593,0.018456776,0.510701743,2.506440956,0.527464984
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.584312567,0.597742666,2.667729085,0.007988744,0.01917942,0.510701743,2.709479765,0.800338665
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,1.523502863,0.957339525,2.667729085,0.008240116,0.019470597,0.510701743,2.747331153,0.929538585
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.683482276,0.737325746,2.271885158,0.008144061,0.01997624,0.529806528,2.778106356,0.840436625
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.611685488,0.947617918,2.11224591,0.009301565,0.021507746,0.605596336,2.819406698,0.904699854
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.911141078,0.790814677,2.154489818,0.013692143,0.022172757,0.675898351,2.769620693,1.535679286
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.550138833,0.833924309,1.860330849,0.014093374,0.021715408,0.675898351,2.790601583,1.118512207
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.583289299,1.057281238,2.197687715,0.013451532,0.024039765,0.675898351,2.72821543,0.809734088
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.540532535,0.990116096,1.32422163,0.013619003,0.024530413,0.675898351,2.69900925,0.897057424
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.86612379,0.661228969,1.823151365,0.014054141,0.024496727,0.894832191,2.717395178,0.574320934
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,1.051343444,0.63435741,1.08067805,0.015286265,0.026343525,0.90561578,2.753905233,0.639612617
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.845535676,6.627040619,1.267409568,0.014230142,0.021253884,0.987063811,2.765355063,0.837204545
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.698089567,6.627040619,1.210854213,0.037387497,0.020002211,2.801254683,2.668248175,0.808726132
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.609963981,2.327285479,1.474158,0.031948386,0.020118657,2.801254683,2.480462,0.998499658
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.580759892,1.341878205,1.850787961,0.03400173,0.019617557,2.801254683,2.463562785,0.95824288
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,1.991848832,0.620826356,2.530180738,0.029345409,0.019646037,2.801254683,2.450103511,0.687726628
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,1.151812775,0.703058789,2.651713519,0.027905817,0.019179768,2.708527051,2.233633937,0.843744818
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,1.174763209,0.84099776,2.153384847,0.022553844,0.019457586,2.02315528,2.47846552,0.683008817
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,1.413570611,0.563124204,2.484114142,0.013387092,0.019457586,0.513898984,2.440502204,0.977898243
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,1.770484423,0.978487522,1.794503903,0.012087576,0.019453799,0.719208001,2.321652895,0.914099337
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.692831178,0.90208746,2.10030003,0.011966299,0.019212166,0.853372367,2.02380068,0.770976357
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.819263914,0.8567636,1.934824348,0.014295456,0.019087102,0.904185396,2.054148485,0.754789617
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.663061007,1.141601442,2.181798164,0.01367901,0.018839681,1.030264916,2.205402752,1.024171398
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,1.040129531,0.762087189,2.337483897,0.013613662,0.018839681,1.192956807,2.181727232,0.826243485
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,1.002409505,0.774191662,2.452365671,0.013824314,0.018521078,2.061363219,2.356034299,0.860520133
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,1.159799538,1.03744376,2.553439632,0.013108151,0.019227611,2.454472718,2.116246369,0.62761068
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.989282231,0.888308375,2.637024452,0.011958638,0.019474136,3.154885467,2.233416175,0.654821459
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.548261059,0.903072156,2.592219701,0.011641219,0.021076418,1.67041913,2.630040314,0.64356358
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.638058304,0.751913664,2.682188594,0.00951787,0.02228327,1.683009607,2.679090168,0.802988453
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,1.8620779,0.654601884,2.699696717,0.00938948,0.022359298,2.001595931,2.668898315,1.266181031
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.477518575,0.633840045,2.607880358,0.010039909,0.030957998,0.944847477,2.508809936,0.803233573
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.986561286,2.633184571,2.559126106,0.009526242,0.037218022,1.556174232,2.632595576,0.929633182
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.671712297,0.802326912,2.666368492,0.009459837,0.035934294,2.3220991,2.521046317,0.760428152
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.539863116,0.576979603,2.652075837,0.010312753,0.035949603,2.199604622,2.239327151,0.772628519
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.846889836,0.947612082,2.652075837,0.007998911,0.038961407,3.453560196,2.513816891,0.587071923
