bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,0.517684274,0.832073874,2.056491853,0.425156602,2.504831059,0.792891624,0.584728749,1.929575808,2.507464761
"BMR = 10%: Added, BMR: 0.1",2,0.166809545,2.043358022,2.380501037,0.673877282,3.000380958,1.40800169,0.482024616,3.56811693,1.70933941
"BMR = 10%: Added, BMR: 0.1",3,0.818282465,1.910296969,2.776869776,7.694898209,2.994646464,0.091894633,0.074348563,5.066010175,1.789425517
"BMR = 10%: Added, BMR: 0.1",4,1.276353436,1.603420506,1.305673011,1.105702481,2.041100721,1.131675096,0.396248075,4.77190857,4.996128624
"BMR = 10%: Added, BMR: 0.1",5,0.270823363,0.832142882,11.46019461,0.520533328,3.386883261,0.502701698,1.710659068,2.217558756,2.075921361
"BMR = 10%: Added, BMR: 0.1",6,0.257400548,0.502688323,1.894930025,0.318551266,1.657933116,0.674745668,0.174290269,3.731479808,3.396237872
"BMR = 10%: Added, BMR: 0.1",7,0.283064053,0.561947988,0.94582974,0.284299454,3.628363505,0.719624169,0.106654048,4.289516821,1.512585188
"BMR = 10%: Added, BMR: 0.1",8,0.359657313,0.914011308,4.707271841,0.58329145,1.578693803,0.291708493,0.077772363,1.226741145,1.764871923
"BMR = 10%: Added, BMR: 0.1",9,0.376408401,1.176958691,2.884930853,0.809587333,5.059388627,0.155506412,0.282567921,5.244314375,5.659924745
"BMR = 10%: Added, BMR: 0.1",10,0.281059143,0.922723869,3.957046754,0.289458174,4.295973655,0.488244196,0.454849915,5.956458388,1.245164874
"BMR = 10%: Added, BMR: 0.1",11,1.16800339,0.123101085,6.24007808,0.568412052,8.472466657,0.239319413,0.445478803,4.608967484,3.338514256
"BMR = 10%: Added, BMR: 0.1",12,0.195454273,1.521609968,0.403249488,0.404171205,4.503527667,0.294076966,0.088950433,5.37004693,0.876474205
"BMR = 10%: Added, BMR: 0.1",13,0.168895365,0.926570502,13.21961608,0.281116319,1.990053608,0.351442561,0.314314743,4.437503434,1.014389313
"BMR = 10%: Added, BMR: 0.1",14,0.696955789,1.214438769,2.370435577,0.249922699,8.528102616,0.238345717,0.310797493,3.613778369,2.336012825
"BMR = 10%: Added, BMR: 0.1",15,1.101179617,0.506003267,4.084793988,6.033900108,3.538390462,0.051835646,0.590687866,0.910883377,2.512948764
"BMR = 10%: Added, BMR: 0.1",16,0.534136554,0.353346006,10.31659511,0.55753554,2.728791884,0.088601515,0.054520164,5.451990938,7.875944723
"BMR = 10%: Added, BMR: 0.1",17,0.170367627,0.198442227,0.072223729,11.40391338,1.072967341,1.661448958,0.558521842,4.783143908,5.36630724
"BMR = 10%: Added, BMR: 0.1",18,0.235252213,0.336158173,1.68964867,0.752361016,1.107564758,0.232678253,0.263205904,4.489485811,2.160916136
"BMR = 10%: Added, BMR: 0.1",19,0.258795741,0.475752865,2.561142502,0.381520486,2.321020321,0.126678391,0.77309699,3.018436463,1.484614456
"BMR = 10%: Added, BMR: 0.1",20,0.231015127,1.12174355,0.551803888,0.239221967,3.273141952,0.097302156,0.26652807,5.082575804,1.538084609
"BMR = 10%: Added, BMR: 0.1",21,0.46693508,0.201192802,15.29800695,2.079442311,8.619803818,0.201817435,1.207257449,1.316179945,3.325755627
"BMR = 10%: Added, BMR: 0.1",22,0.279718175,0.38273014,1.27552028,3.795385565,7.31604376,0.325083629,0.640604947,4.74859034,2.136076337
"BMR = 10%: Added, BMR: 0.1",23,0.275126046,0.180617573,2.016770138,0.281882564,1.140231976,0.068976701,0.20958612,3.570232416,2.959341694
"BMR = 10%: Added, BMR: 0.1",24,0.383675055,0.495643881,2.934300586,0.271601948,2.922674705,0.363755461,1.162522136,1.481187324,3.669349751
"BMR = 10%: Added, BMR: 0.1",25,0.118957316,0.384069798,1.518546481,0.35508369,2.215454123,3.66303371,0.269987353,4.538385619,2.108824569
"BMR = 10%: Added, BMR: 0.1",26,0.297545201,0.204491992,2.301898816,0.217687837,6.072064484,0.106811009,0.900062526,1.006485092,3.552501024
"BMR = 10%: Added, BMR: 0.1",27,1.661039087,0.384192491,21.41210379,3.098777856,20.7665856,0.853516587,0.639122654,5.125253683,7.508502511
"BMR = 10%: Added, BMR: 0.1",28,0.251486256,0.745501394,2.27350172,0.562077337,4.987588063,0.61687345,0.62084492,4.263548431,0.430055178
"BMR = 10%: Added, BMR: 0.1",29,0.612880247,1.310873991,2.425693454,0.402541743,4.608156053,0.249015822,0.190517743,4.460779657,1.646702109
"BMR = 10%: Added, BMR: 0.1",30,0.589473534,0.275229331,4.241983277,1.283777183,2.240307888,1.088178336,0.380744555,2.081045222,0.054011778
"BMR = 10%: Added, BMR: 0.1",31,0.990115892,0.964818537,0.88048528,0.509953861,3.992865555,2.070683259,0.529765904,1.650576087,3.924495064
"BMR = 10%: Added, BMR: 0.1",32,0.564915806,1.459602617,2.14397338,0.319969284,4.456296798,0.518372904,0.39986617,3.760315417,4.005109342
"BMR = 10%: Added, BMR: 0.1",33,6.088593357,2.272876702,0.805500448,0.590231235,3.929460888,0.514342599,0.396407048,3.384169853,3.762375772
"BMR = 10%: Added, BMR: 0.1",34,0.295060376,0.446018143,1.859298422,1.310183491,4.316471391,0.310218493,0.16739793,3.745667022,0.015564196
"BMR = 10%: Added, BMR: 0.1",35,0.933483872,0.836281226,2.466811046,0.368722377,2.698570554,0.157651719,0.943005629,3.073721906,1.735952242
"BMR = 10%: Added, BMR: 0.1",36,1.140953589,0.277413409,1.121264345,0.253217683,2.309781858,0.112351547,0.220845173,3.663916596,0.902048849
"BMR = 10%: Added, BMR: 0.1",37,0.353113618,0.59089916,1.725827424,0.391714307,10.46140819,3.094918147,0.478663088,1.304750692,2.31532616
