Chemical,CAS,median,upper
"2,4,5-Trichlorophenol",95-95-4,1.32E-06,0.002712
"4,6-Dinitro-o-cresol",534-52-1,5.78E-06,0.002129
Aldrin,309-00-2,3.28E-11,4.77E-10
Azinphos-methyl,86-50-0,1.40E-07,5.57E-07
Chlorpyrifos,2921-88-2,4.36E-07,1.03E-05
"p,p'-DDT",50-29-3,6.80E-11,1.10E-09
Diazinon,333-41-5,3.32E-07,2.88E-05
Dibutyl phthalate,84-74-2,2.51E-06,0.0001712
Dicofol,115-32-2,5.13E-08,2.93E-05
Dieldrin,60-57-1,9.44E-11,1.41E-09
Disulfoton,298-04-4,2.24E-07,6.71E-07
Endosulfan,115-29-7,5.75E-10,3.79E-07
Endrin,72-20-8,6.52E-11,1.01E-09
Ethion,563-12-2,8.01E-08,2.09E-07
Heptachlor,76-44-8,6.67E-11,5.45E-07
Heptachlor epoxide,1024-57-3,8.46E-08,3.14E-05
Methoxychlor,72-43-5,2.02E-07,3.86E-05
Parathion,56-38-2,1.26E-07,3.53E-07
Pentachlorophenol,87-86-5,1.48E-10,6.81E-08
