Chemical,CAS,Unc5.,Unc50.,Unc95.
"2,4,5-trichlorophenol",95-95-4,5.797333545,7.613471,9.53916055
"2,4,5-trichlorophenol-2",95-95-4,2.348006795,3.520625371,5.590589322
"4,6-dinitro-o-cresol",534-52-1,1.97724212,3.056988566,4.921868463
Aldrin,309-00-2,9.272418857,10.72692684,12.41056425
Azinphos-Methyl,86-50-0,2.496042984,4.53487231,6.956078804
Cadmium Chloride ,7440-43-9,8.510839478,10.38958508,12.86341605
Chlorpyrifos,2921-88-2,3.250398382,7.523393048,13.32255754
Cobalt Chloride,7440-48-4,4.752440147,5.802048124,7.181833477
"DDD, P,P'-",72-54-8,4.020668783,6.490134395,11.88166709
"DDT, O,P'-",789-02-6,4.209332572,6.371593883,9.474677474
"DDT, P,P'-",50-29-3,4.482728027,7.103256487,13.654577
Di-N-Butyl Phthalate,84-74-2,1.9530207,3.443774439,5.92516155
Diazinon,333-41-5,1.9108175,3.432470648,6.484952439
Dicofol,115-32-2,3.883014634,5.808372062,9.444189378
Dieldrin,60-57-1,17.00414673,20.65264992,25.3986095
Disulfoton,298-04-4,2.272832144,5.169232534,12.67694505
Endosulfan,115-29-7,8.031096276,9.053085638,10.2007485
Endrin,72-20-8,4.184519643,5.140311422,6.209538603
Ethion ,563-12-2,5.894883535,8.352219,11.99735783
Heptachlor,76-44-8,9.033207566,10.43975986,12.116353
Heptachlor Epoxide,1024-57-3,10.3693535,14.31477114,19.72445
Mercuric Chloride,7487-94-7,5.96414805,8.266185297,11.74340926
Mercuric Chloride-2,7487-94-7,3.976934091,4.837499678,5.64568655
Methoxychlor,72-43-5,2.56758325,4.382265828,7.505468005
Nickel Chloride ,7440-02-0,5.793410263,8.949472971,14.17550452
Parathion,56-38-2,2.349972309,4.225398125,6.13317235
Pentachlorophenol,87-86-5,3.370731487,4.688373612,7.03129035
Potassium Chromate,18540-29-9,5.432455094,6.597605512,7.9323481
